ProductName,Description,Predicted productBrand,Predicted Color,Predicted Gender
Titan Karishma Gap Filler Women Black Analogue watch NL2594SL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid oval metal dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Black,Women
LA LOFT Women Sea Green Solid Pure Cotton Peplum Top,"Sea Green solid woven peplum  top, has a square neck, and button closure",LA LOFT, Green,Women
Titan Women Blue Analogue Watch 2602SL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date Aperture, LED BacklightStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan,Blue,Women
Cottinfab Women Green Solid Basic Jumpsuit,"Green solid basic jumpsuit, has a boat neck with keyhole, sleeveless, two pockets, waist tie-up, concealed zip closure",Cottinfab, Green,Women
TIMESMITH Women White Analogue Watch TSC-055,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Blue bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature TIMESMITH case",TIMESMITH, White,Women
Calvin Klein Unisex Red Medium Trolley Suitcase,"Red medium trolley suitcase secured with a TSA lockOne padded handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted 360-degree wheelsOne main zip compartment with a zip lining, has a zip pocket on the flap2 external zip pocket on the frontZipper detail to adjust the depthWarranty: 10 yearsWarranty provided by the brand owner/manufacturer",Calvin Klein, Red,Unisex
Liberty Men Black Colourblocked Thong Flip-Flops,A pair of black and blue colourblocked flip flopsSynthetic upper materialCushioned footbedPatterned synthetic outsole,Liberty, Black,Men
Bene Kleed Men Pink Washed Loose Fit Regular Shorts,"Pink and White washed mid-rise regular shorts, has 4 pockets, and button closure",Bene Kleed, Pink,Men
TIMESMITH Women White Analogue Watch TSC-054,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Gold-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer",TIMESMITH, White,Women
Titan Neo Bandhan Unisex Blue Analogue watch 17342569KM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: ChronographStrap style: Silver-Toned regular, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan,Blue,Unisex
CODE by Lifestyle Men Red & Navy Blue Slim Fit Checked Casual Shirt,"Red and Navy Blue checked casual shirt, has a cutaway collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
Soumya Turquoise Blue Single Long Door Curtains,Set content: Single Long Door curtainColour: Turquoise BluePattern: Self Design Long DoorLight blocking: RegularFitting: Eyelet,Soumya,Blue,Unisex
Soumya Orange Single Window Curtain,Set content: Single Window curtainColour: OrangePattern: SolidLight blocking: RegularFitting: EyeletLining: No,Soumya, Orange,Unisex
